  628 629.337492271 Cisco_d0:14:6f → Broadcast    802.11 332  44 Beacon frame, SN=2806, FN=0, Flags=........, BI=204, SSID=eduroam
  633 630.041532489 Cisco_04:0f:9f → Broadcast    802.11 332  100 Beacon frame, SN=3519, FN=0, Flags=........, BI=204, SSID=eduroam
  657 642.374275711 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1896, FN=0, Flags=........, BI=204, SSID=eduroam
  658 646.134921403 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1956, FN=0, Flags=........, BI=204, SSID=eduroam
  659 647.387796534 Cisco_d0:24:7f → Broadcast    802.11 348  48 Beacon frame, SN=1977, FN=0, Flags=........, BI=204, SSID=eduroam
  676 667.024022801 Cisco_d0:24:7f → Broadcast    802.11 348  48 Beacon frame, SN=2260, FN=0, Flags=........, BI=204, SSID=eduroam
  683 678.513090821 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=2428, FN=0, Flags=........, BI=204, SSID=eduroam
  688 683.110588601 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=2500, FN=0, Flags=........, BI=204, SSID=eduroam
  689 685.615550698 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=2536, FN=0, Flags=........, BI=204, SSID=eduroam
  690 690.837992801 Cisco_d0:24:7f → Broadcast    802.11 344  48 Beacon frame, SN=2612, FN=0, Flags=........, BI=204, SSID=eduroam
  691 692.091267572 Cisco_d0:24:7f → Broadcast    802.11 356  48 Beacon frame, SN=2630, FN=0, Flags=........, BI=204, SSID=eduroam
  696 702.744968879 Cisco_d0:24:7f → Broadcast    802.11 344  48 Beacon frame, SN=2789, FN=0, Flags=........, BI=204, SSID=eduroam
  697 705.251635663 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=2827, FN=0, Flags=........, BI=204, SSID=eduroam
  698 711.518526762 Cisco_d0:24:7f → Broadcast    802.11 344  48 Beacon frame, SN=2923, FN=0, Flags=........, BI=204, SSID=eduroam
  701 738.885595270 Cisco_d0:24:7f → Broadcast    802.11 336  48 Beacon frame, SN=3319, FN=0, Flags=........, BI=204, SSID=eduroam
  717 748.656169579 Cisco_04:0f:90 → Broadcast    802.11 306  9 Beacon frame, SN=3399, FN=0, Flags=........, BI=204, SSID=eduroam
  721 749.273534711 Cisco_c9:e3:be → Broadcast    802.11 312  44 Beacon frame, SN=44, FN=0, Flags=........, BI=204, SSID=TUvisitor
  726 749.998040679 Cisco_04:0f:9d → Broadcast    802.11 339  100 Beacon frame, SN=1275, FN=0, Flags=........, BI=204, SSID=tudelft-dastud
  735 752.461827878 Cisco_d0:24:7f → Broadcast    802.11 340  48 Beacon frame, SN=3517, FN=0, Flags=........, BI=204, SSID=eduroam
  755 759.982191403 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=3626, FN=0, Flags=........, BI=204, SSID=eduroam
  756 763.744794568 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=3684, FN=0, Flags=........, BI=204, SSID=eduroam
  757 769.800213380 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=3778, FN=0, Flags=........, BI=204, SSID=eduroam
  764 784.422722866 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=3992, FN=0, Flags=........, BI=204, SSID=eduroam
  765 786.929701850 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=4028, FN=0, Flags=........, BI=204, SSID=eduroam
  777 798.002524422 Cisco_d0:24:7f → Broadcast    802.11 340  48 Beacon frame, SN=92, FN=0, Flags=........, BI=204, SSID=eduroam
  784 808.031208063 Cisco_d0:24:7f → Broadcast    802.11 344  48 Beacon frame, SN=240, FN=0, Flags=........, BI=204, SSID=eduroam
  790 825.367731113 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=493, FN=0, Flags=........, BI=204, SSID=eduroam
  791 827.246430593 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=523, FN=0, Flags=........, BI=204, SSID=eduroam
  792 839.779951025 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=703, FN=0, Flags=........, BI=204, SSID=eduroam
  795 843.540060944 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=758, FN=0, Flags=........, BI=204, SSID=eduroam
  796 844.793342600 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=777, FN=0, Flags=........, BI=204, SSID=eduroam
  797 858.998235707 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=981, FN=0, Flags=........, BI=204, SSID=eduroam
  798 860.251665931 Cisco_d0:24:7f → Broadcast    802.11 348  48 Beacon frame, SN=1003, FN=0, Flags=........, BI=204, SSID=eduroam
  801 867.563090132 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1112, FN=0, Flags=........, BI=204, SSID=eduroam
  811 868.656846089 Cisco_c9:e3:b2 → Broadcast    802.11 310  9 Beacon frame, SN=2949, FN=0, Flags=........, BI=204, SSID=tudelft-dastud
  815 868.661369106 Cisco_04:0f:91 → Broadcast    802.11 286  9 Beacon frame, SN=1050, FN=0, Flags=........, BI=204, SSID=TUvisitor
  817 869.357147266 Cisco_d0:14:6f → Broadcast    802.11 332  44 Beacon frame, SN=2358, FN=0, Flags=........, BI=204, SSID=eduroam
  822 870.074914896 Cisco_04:0f:9f → Broadcast    802.11 336  100 Beacon frame, SN=3365, FN=0, Flags=........, BI=204, SSID=eduroam
  825 874.874371283 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1219, FN=0, Flags=........, BI=204, SSID=eduroam
  877 883.230273890 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1340, FN=0, Flags=........, BI=204, SSID=eduroam
  890 892.840372289 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1478, FN=0, Flags=........, BI=204, SSID=eduroam
  895 907.252991607 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1688, FN=0, Flags=........, BI=204, SSID=eduroam
  898 913.519904565 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1780, FN=0, Flags=........, BI=204, SSID=eduroam
  901 925.008916068 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1945, FN=0, Flags=........, BI=204, SSID=eduroam
  904 935.662638612 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=2096, FN=0, Flags=........, BI=204, SSID=eduroam
  909 946.316362111 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=2250, FN=0, Flags=........, BI=204, SSID=eduroam
  912 950.703061986 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=2314, FN=0, Flags=........, BI=204, SSID=eduroam
  913 959.476992590 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=2441, FN=0, Flags=........, BI=204, SSID=eduroam
  914 965.325835336 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=2525, FN=0, Flags=........, BI=204, SSID=eduroam
  915 971.801511787 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=2625, FN=0, Flags=........, BI=204, SSID=eduroam
  916 973.054914112 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=2644, FN=0, Flags=........, BI=204, SSID=eduroam
  917 975.770462759 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=2683, FN=0, Flags=........, BI=204, SSID=eduroam
  934 988.528177565 Cisco_d0:24:70 → Broadcast    802.11 306  5 Beacon frame, SN=3830, FN=0, Flags=........, BI=204, SSID=eduroam
  935 988.532384184 Cisco_d2:20:92 → Broadcast    802.11 313  5 Beacon frame, SN=2364, FN=0, Flags=........, BI=204, SSID=tudelft-dastud
  945 990.020050489 Cisco_04:0f:9d → Broadcast    802.11 339  100 Beacon frame, SN=1026, FN=0, Flags=........, BI=204, SSID=tudelft-dastud
  946 990.810986242 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=2903, FN=0, Flags=........, BI=204, SSID=eduroam
  953 993.526557371 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=2943, FN=0, Flags=........, BI=204, SSID=eduroam
  956 999.375528728 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=3026, FN=0, Flags=........, BI=204, SSID=eduroam
  957 1004.389011896 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=3098, FN=0, Flags=........, BI=204, SSID=eduroam
  958 1009.402471120 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=3170, FN=0, Flags=........, BI=204, SSID=eduroam
  961 1016.087344606 Cisco_d0:24:7f → Broadcast    802.11 348  48 Beacon frame, SN=3270, FN=0, Flags=........, BI=204, SSID=eduroam
  962 1021.100685339 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=3344, FN=0, Flags=........, BI=204, SSID=eduroam
  965 1023.607437893 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=3382, FN=0, Flags=........, BI=204, SSID=eduroam
  968 1029.665225268 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=3469, FN=0, Flags=........, BI=204, SSID=eduroam
  969 1033.007641128 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=3519, FN=0, Flags=........, BI=204, SSID=eduroam
  970 1036.767879225 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=3577, FN=0, Flags=........, BI=204, SSID=eduroam
