  420 232.443004469 Tp-LinkT_73:b1:67 → Broadcast    802.11 307  1 Beacon frame, SN=1700, FN=0, Flags=........, BI=100, SSID=Yowifi
  424 232.479316686 D-LinkIn_1e:56:ef → Broadcast    802.11 327  2 Beacon frame, SN=1023, FN=0, Flags=........, BI=100, SSID=Alok Bharadwaj
  425 232.533242100 Cisco-Li_b5:77:6b → Broadcast    802.11 269  4 Beacon frame, SN=1927, FN=0, Flags=........, BI=100, SSID=Flowwjob
  426 232.625481703 Tp-LinkT_53:67:fc → Broadcast    802.11 276  8 Beacon frame, SN=2807, FN=0, Flags=........, BI=100, SSID=TP-LINK Delft
  429 232.645145637 Tp-LinkT_e6:8e:b2 → Broadcast    802.11 294  8 Beacon frame, SN=2316, FN=0, Flags=........, BI=100, SSID=Athreya
  431 232.687001584 BelkinIn_97:29:d5 → Broadcast    802.11 340  10 Beacon frame, SN=1526, FN=0, Flags=........, BI=100, SSID=Baaijens
  433 232.711668949 Tp-LinkT_42:4b:de → Broadcast    802.11 318  11 Beacon frame, SN=2625, FN=0, Flags=........, BI=100, SSID=codroipo
  436 232.728637921 Apple_e9:5f:fa → Broadcast    802.11 267  11 Beacon frame, SN=3559, FN=0, Flags=........, BI=100, SSID=Hogwarts
  437 232.884435317 Tp-LinkT_73:ae:3a → Broadcast    802.11 368  36 Beacon frame, SN=418, FN=0, Flags=........, BI=100, SSID=Guil 5G
  438 232.885291468 Tp-LinkT_73:b1:66 → Broadcast    802.11 370  36 Beacon frame, SN=3710, FN=0, Flags=........, BI=100, SSID=Yowifi-5G
  442 233.512265557 Apple_e9:5f:fb → Broadcast    802.11 267  100 Beacon frame, SN=553, FN=0, Flags=........, BI=100, SSID=Hogwarts
  450 235.876182939 Intronic_97:d6:58 → Broadcast    802.11 317  5 Beacon frame, SN=351, FN=0, Flags=........, BI=100, SSID=Eminent
  456 236.031898993 D-LinkIn_43:7a:e0 → Broadcast    802.11 318  11 Beacon frame, SN=786, FN=0, Flags=........, BI=100, SSID=Metten
  457 236.034405583 Tp-LinkT_73:ae:3b → Broadcast    802.11 305  11 Beacon frame, SN=2808, FN=0, Flags=........, BI=100, SSID=Guil
  458 236.036468984 56:c7:bf:73:ae:3c → Broadcast    802.11 264  11 Beacon frame, SN=2809, FN=0, Flags=........, BI=100, SSID=TP-LINK_Guest_AE3C
  464 238.584561121 Tp-LinkT_73:b1:67 → Broadcast    802.11 307  1 Beacon frame, SN=1763, FN=0, Flags=........, BI=100, SSID=Yowifi
  465 238.617066381 D-LinkIn_43:72:64 → Broadcast    802.11 329  1 Beacon frame, SN=402, FN=0, Flags=........, BI=100, SSID=Bas Segaar 2.4GHz
  467 238.633936385 Tp-LinkT_6b:78:9e → Broadcast    802.11 308  1 Beacon frame, SN=488, FN=0, Flags=........, BI=100, SSID=WiFie
  472 238.748534030 Apple_0b:36:87 → Broadcast    802.11 265  6 Beacon frame, SN=431, FN=0, Flags=........, BI=100, SSID=ahoj brno!
  473 238.784641226 Tp-LinkT_53:67:fc → Broadcast    802.11 276  7 Beacon frame, SN=2887, FN=0, Flags=........, BI=100, SSID=TP-LINK Delft
  486 238.948513770 Tp-LinkT_33:9d:ad → Broadcast    802.11 327  36 Beacon frame, SN=2829, FN=0, Flags=........, BI=100, SSID=Slick Rick 5G
  489 239.553806728 Apple_e9:5f:fb → Broadcast    802.11 267  100 Beacon frame, SN=612, FN=0, Flags=........, BI=100, SSID=Hogwarts
  490 241.451788687 Tp-LinkT_73:b1:67 → Broadcast    802.11 307  1 Beacon frame, SN=1794, FN=0, Flags=........, BI=100, SSID=Yowifi
  491 241.459935067 Tp-LinkT_34:03:62 → Broadcast    802.11 309  1 Beacon frame, SN=412, FN=0, Flags=........, BI=100, SSID=Govern
  492 241.475496301 D-LinkIn_39:c3:00 → Broadcast    802.11 332  1 Beacon frame, SN=3230, FN=0, Flags=........, BI=100, SSID=Youri-Netwerk 2.4GHz
  493 241.484287626 D-LinkIn_43:72:64 → Broadcast    802.11 329  1 Beacon frame, SN=431, FN=0, Flags=........, BI=100, SSID=Bas Segaar 2.4GHz
  494 241.554175528 Tp-LinkT_73:b1:67 → Broadcast    802.11 307  2 Beacon frame, SN=1795, FN=0, Flags=........, BI=100, SSID=Yowifi
  495 241.593065966 D-LinkIn_1e:56:ef → Broadcast    802.11 327  2 Beacon frame, SN=1144, FN=0, Flags=........, BI=100, SSID=Alok Bharadwaj
  496 241.788496150 Tp-LinkT_af:6a:2f → Broadcast    802.11 317  4 Beacon frame, SN=4, FN=0, Flags=........, BI=100, SSID=nfac
  497 241.868461874 HewlettP_15:6f:77 → Broadcast    802.11 444  4 Beacon frame, SN=460, FN=0, Flags=........, BI=100, SSID=DIRECT-76-HP ENVY 7640 series
  498 241.917782346 Intronic_97:d6:58 → Broadcast    802.11 317  5 Beacon frame, SN=411, FN=0, Flags=........, BI=100, SSID=Eminent
  499 242.020221919 Intronic_97:d6:58 → Broadcast    802.11 317  6 Beacon frame, SN=412, FN=0, Flags=........, BI=100, SSID=Eminent
  500 242.122545872 Intronic_97:d6:58 → Broadcast    802.11 317  6 Beacon frame, SN=413, FN=0, Flags=........, BI=100, SSID=Eminent
  501 242.148735192 Tp-LinkT_53:67:fc → Broadcast    802.11 276  7 Beacon frame, SN=2939, FN=0, Flags=........, BI=100, SSID=TP-LINK Delft
  502 242.263532057 Tp-LinkT_e6:8e:b2 → Broadcast    802.11 294  8 Beacon frame, SN=2422, FN=0, Flags=........, BI=100, SSID=Athreya
  503 242.353571633 Tp-LinkT_53:67:fc → Broadcast    802.11 276  8 Beacon frame, SN=2943, FN=0, Flags=........, BI=100, SSID=TP-LINK Delft
  504 242.365993086 Tp-LinkT_e6:8e:b2 → Broadcast    802.11 294  8 Beacon frame, SN=2423, FN=0, Flags=........, BI=100, SSID=Athreya
  505 242.468266366 Tp-LinkT_e6:8e:b2 → Broadcast    802.11 294  9 Beacon frame, SN=2424, FN=0, Flags=........, BI=100, SSID=Athreya
  506 242.516046794 BelkinIn_97:29:d5 → Broadcast    802.11 340  10 Beacon frame, SN=1631, FN=0, Flags=........, BI=100, SSID=Baaijens
  507 242.585046245 D-LinkIn_43:7a:e0 → Broadcast    802.11 318  10 Beacon frame, SN=851, FN=0, Flags=........, BI=100, SSID=Metten
  508 242.619205718 BelkinIn_97:29:d5 → Broadcast    802.11 340  10 Beacon frame, SN=1632, FN=0, Flags=........, BI=100, SSID=Baaijens
  509 242.643616047 Tp-LinkT_42:4b:de → Broadcast    802.11 318  11 Beacon frame, SN=2745, FN=0, Flags=........, BI=100, SSID=codroipo
  510 242.661479584 Apple_e9:5f:fa → Broadcast    802.11 267  11 Beacon frame, SN=3659, FN=0, Flags=........, BI=100, SSID=Hogwarts
  511 242.687448914 D-LinkIn_43:7a:e0 → Broadcast    802.11 318  11 Beacon frame, SN=852, FN=0, Flags=........, BI=100, SSID=Metten
  512 242.689867489 Tp-LinkT_73:ae:3b → Broadcast    802.11 305  11 Beacon frame, SN=2945, FN=0, Flags=........, BI=100, SSID=Guil
