  542 675.573347334 Cisco_79:21:4d → Broadcast    802.11 357  44 Beacon frame, SN=1002, FN=0, Flags=........, BI=204, SSID=tudelft-dastud
  543 675.605049066 Cisco_a2:39:3f → Broadcast    802.11 347  44 Beacon frame, SN=405, FN=0, Flags=........, BI=204, SSID=eduroam
  544 675.622522050 Cisco_79:21:4e → Broadcast    802.11 330  44 Beacon frame, SN=1003, FN=0, Flags=........, BI=204, SSID=TUvisitor
  545 675.654234736 Cisco_a2:39:3d → Broadcast    802.11 354  44 Beacon frame, SN=406, FN=0, Flags=........, BI=204, SSID=tudelft-dastud
  546 675.703414001 Cisco_a2:39:3e → Broadcast    802.11 327  44 Beacon frame, SN=407, FN=0, Flags=........, BI=204, SSID=TUvisitor
  547 675.733203881 Cisco_79:21:4f → Broadcast    802.11 350  44 Beacon frame, SN=1004, FN=0, Flags=........, BI=204, SSID=eduroam
  548 675.942499478 Cisco_79:21:4f → Broadcast    802.11 350  44 Beacon frame, SN=1007, FN=0, Flags=........, BI=204, SSID=eduroam
  549 676.151468661 Cisco_79:21:4f → Broadcast    802.11 350  44 Beacon frame, SN=1010, FN=0, Flags=........, BI=204, SSID=eduroam
  555 681.090757828 Tp-LinkT_b8:2e:31 → Broadcast    802.11 313  6 Beacon frame, SN=3486, FN=0, Flags=........, BI=100, SSID=TU Auditorium Techniek
  560 681.294630144 Tp-LinkT_59:58:a0 → Broadcast    802.11 293  36 Beacon frame, SN=496, FN=0, Flags=........, BI=100, SSID=IWS_STATION_5GHz
  580 681.618652754 Zte_23:2a:cf → Broadcast    802.11 333  100 Beacon frame, SN=986, FN=0, Flags=........, BI=100, SSID=DonerCompany
  581 681.618697448 7a:60:8c:23:2a:cd → Broadcast    802.11 281  100 Beacon frame, SN=987, FN=0, Flags=........, BI=100, SSID=DonerCompanyGast
  590 682.603206377 Cisco_c9:e3:1b → Broadcast    802.11 350  136 Beacon frame, SN=2464, FN=0, Flags=........, BI=204, SSID=Event Aula
  598 682.636776187 Ubiquiti_64:2e:b8 → Broadcast    802.11 411  140 Beacon frame, SN=3041, FN=0, Flags=........, BI=100, SSID=il-ono.tudelft.wleiden.net
  603 682.649396035 Cisco_00:cc:2d → Broadcast    802.11 331  140 Beacon frame, SN=2749, FN=0, Flags=........, BI=204, SSID=TUvisitor
  618 682.698635097 Cisco_00:cc:2e → Broadcast    802.11 358  140 Beacon frame, SN=2750, FN=0, Flags=........, BI=204, SSID=tudelft-dastud
  629 682.739259940 Ubiquiti_64:2e:b8 → Broadcast    802.11 411  140 Beacon frame, SN=3042, FN=0, Flags=........, BI=100, SSID=il-ono.tudelft.wleiden.net
  638 682.809205973 Cisco_00:cc:2f → Broadcast    802.11 351  140 Beacon frame, SN=2751, FN=0, Flags=........, BI=204, SSID=eduroam
  639 683.018523058 Cisco_00:cc:2f → Broadcast    802.11 351  140 Beacon frame, SN=2754, FN=0, Flags=........, BI=204, SSID=eduroam
  641 684.480719426 Cisco_00:cc:2f → Broadcast    802.11 351  140 Beacon frame, SN=2775, FN=0, Flags=........, BI=204, SSID=eduroam
  642 685.525218443 Cisco_00:cc:2f → Broadcast    802.11 351  140 Beacon frame, SN=2790, FN=0, Flags=........, BI=204, SSID=eduroam
  643 686.360787992 Cisco_00:cc:2f → Broadcast    802.11 351  140 Beacon frame, SN=2802, FN=0, Flags=........, BI=204, SSID=eduroam
  645 686.987414932 Cisco_00:cc:2f → Broadcast    802.11 351  140 Beacon frame, SN=2811, FN=0, Flags=........, BI=204, SSID=eduroam
  651 688.031902218 Cisco_00:cc:2f → Broadcast    802.11 351  140 Beacon frame, SN=2827, FN=0, Flags=........, BI=204, SSID=eduroam
