fe:35:61:92:29:fe SSID=Broadcast
fe:35:ed:e1:81:a4 SSID=Broadcast
fe:9a:5e:ce:f5:cd SSID=Broadcast
fe:9a:5e:ce:f5:cd SSID=Ziggo0B609
fe:a6:fd:a3:44:d4 SSID=Broadcast
fe:a6:fd:a3:44:d4 SSID=Ziggo0B609
fe:dd:22:f6:2e:6b SSID=Broadcast
Google_05:62:4f SSID=Broadcast
Google_07:3a:6d SSID=Broadcast
Google_09:a8:4e SSID=Broadcast
Google_0a:d5:2f SSID=Broadcast
Google_0d:72:24 SSID=Broadcast
Google_16:9f:0f SSID=Broadcast
Google_18:3c:45 SSID=Broadcast
Google_19:1b:cb SSID=Broadcast
Google_19:1b:cb SSID=B_T_135
Google_1a:68:ad SSID=Broadcast
Google_1a:9e:2b SSID=Broadcast
Google_1c:3e:55 SSID=Broadcast
Google_1d:50:04 SSID=Broadcast
Google_1e:92:80 SSID=Broadcast
Google_1f:9c:87 SSID=Broadcast
Google_20:22:51 SSID=Broadcast
Google_20:39:66 SSID=Broadcast
Google_21:7e:67 SSID=Broadcast
Google_21:f8:77 SSID=Broadcast
Google_27:48:c9 SSID=Broadcast
Google_2b:89:8b SSID=Broadcast
Google_30:89:7d SSID=Broadcast
Google_31:4e:28 SSID=Broadcast
Google_33:3a:e3 SSID=Broadcast
Google_35:3d:ce SSID=Broadcast
Google_3a:35:2d SSID=Broadcast
Google_3a:9c:21 SSID=Broadcast
Google_3c:28:56 SSID=Broadcast
Google_3c:b4:a2 SSID=Broadcast
Google_3c:d3:66 SSID=Broadcast
Google_40:82:e9 SSID=Broadcast
Google_41:a1:ce SSID=Broadcast
Google_42:9a:eb SSID=Broadcast
Google_45:d3:0b SSID=Broadcast
Google_45:f9:e4 SSID=Broadcast
Google_49:4a:35 SSID=eduroam
Google_49:7d:34 SSID=Broadcast
Google_49:7d:34 SSID=eduroam
Google_4c:6d:0d SSID=Broadcast
Google_4e:ba:de SSID=Broadcast
Google_4f:b2:26 SSID=Broadcast
Google_50:27:a1 SSID=Broadcast
Google_51:b8:de SSID=Broadcast
Google_52:cf:7d SSID=Broadcast
Google_56:85:2a SSID=Broadcast
Google_58:f8:62 SSID=Broadcast
Google_5a:9e:8b SSID=Broadcast
Google_5c:02:b6 SSID=Broadcast
Google_5c:62:a3 SSID=Broadcast
Google_60:1c:27 SSID=Broadcast
Google_60:b6:e3 SSID=Broadcast
Google_61:cc:48 SSID=Broadcast
Google_62:49:ac SSID=Broadcast
Google_66:fc:2f SSID=Broadcast
Google_67:01:81 SSID=Broadcast
Google_6c:20:0b SSID=Broadcast
Google_6e:82:75 SSID=Broadcast
Google_6e:89:e1 SSID=Broadcast
Google_6e:89:e1 SSID=B_T_135
Google_71:b6:e8 SSID=Broadcast
Google_71:b9:a0 SSID=Broadcast
Google_72:52:8b SSID=Broadcast
Google_79:08:9a SSID=Broadcast
Google_7c:71:bb SSID=Broadcast
Google_7d:de:95 SSID=Broadcast
Google_7e:e8:6d SSID=Broadcast
Google_80:76:96 SSID=Broadcast
Google_80:ae:d9 SSID=Broadcast
Google_82:36:53 SSID=blackhole
Google_82:36:53 SSID=Broadcast
Google_82:e1:9a SSID=Broadcast
Google_88:30:b7 SSID=Broadcast
Google_8a:49:97 SSID=Broadcast
Google_8a:ca:47 SSID=eduroam
Google_8d:fa:49 SSID=Broadcast
Google_93:eb:58 SSID=Broadcast
Google_98:63:7a SSID=Broadcast
Google_9a:28:5d SSID=Broadcast
Google_9a:32:95 SSID=Broadcast
Google_9b:99:a6 SSID=blackhole
Google_9b:99:a6 SSID=Broadcast
Google_9b:99:a6 SSID=OUZO_DIESEL
Google_9c:07:13 SSID=Broadcast
Google_9d:83:6e SSID=Broadcast
Google_9e:8d:43 SSID=Broadcast
Google_a0:c4:29 SSID=Broadcast
Google_a4:10:41 SSID=Broadcast
Google_a4:99:df SSID=Broadcast
Google_a5:87:c9 SSID=Broadcast
Google_a6:54:a9 SSID=Broadcast
Google_a7:66:97 SSID=Broadcast
Google_a8:05:eb SSID=Broadcast
Google_a8:a2:61 SSID=Broadcast
Google_aa:a6:91 SSID=Broadcast
Google_ab:ea:aa SSID=Broadcast
Google_ad:5c:e8 SSID=Broadcast
Google_ad:ef:a3 SSID=eduroam
Google_ae:19:9e SSID=Broadcast
Google_b0:5e:c6 SSID=eduroam
Google_b0:80:bd SSID=Broadcast
Google_b1:46:f4 SSID=Broadcast
Google_b2:27:e0 SSID=Broadcast
Google_b2:d3:33 SSID=Broadcast
Google_b3:bc:70 SSID=eduroam
Google_b6:2b:3f SSID=Broadcast
Google_b8:8e:2c SSID=Broadcast
Google_b9:77:08 SSID=Broadcast
Google_bc:54:59 SSID=Broadcast
Google_bd:dd:e4 SSID=Broadcast
Google_be:1d:0a SSID=Broadcast
Google_bf:4d:93 SSID=Broadcast
Google_c2:55:28 SSID=Broadcast
Google_c2:b3:c9 SSID=Broadcast
Google_c3:f6:aa SSID=Broadcast
Google_c4:97:3a SSID=Broadcast
Google_c4:e4:98 SSID=Broadcast
Google_c6:d3:54 SSID=Broadcast
Google_c6:f3:00 SSID=Broadcast
Google_c8:2a:81 SSID=Broadcast
Google_ca:77:7c SSID=Broadcast
Google_cb:43:06 SSID=Broadcast
Google_ce:71:dc SSID=Broadcast
Google_d0:85:c9 SSID=Broadcast
Google_d1:4e:39 SSID=Broadcast
Google_d1:7f:e7 SSID=eduroam
Google_d4:2b:6e SSID=Broadcast
Google_d4:a9:5f SSID=Broadcast
Google_d6:89:fb SSID=blackhole
Google_d6:89:fb SSID=Broadcast
Google_d6:e2:dd SSID=Broadcast
Google_da:29:f4 SSID=Broadcast
Google_dc:45:c1 SSID=Broadcast
Google_dd:b0:80 SSID=Broadcast
Google_de:05:8d SSID=Broadcast
Google_de:52:55 SSID=Broadcast
Google_de:c4:1b SSID=OUZO_DIESEL
Google_de:d7:6f SSID=Broadcast
Google_e2:b2:ff SSID=Broadcast
Google_e3:ab:d5 SSID=Broadcast
Google_e3:b7:6b SSID=eduroam
Google_e4:00:68 SSID=eduroam
Google_e4:91:b9 SSID=Broadcast
Google_e5:5c:d4 SSID=Broadcast
Google_e7:46:27 SSID=Broadcast
Google_e7:7a:d7 SSID=Broadcast
Google_e8:4f:ee SSID=Broadcast
Google_e8:71:5e SSID=Broadcast
Google_e8:71:5e SSID=eduroam
Google_e9:34:75 SSID=Broadcast
Google_ea:06:43 SSID=Broadcast
Google_ec:aa:09 SSID=Broadcast
Google_ed:e5:3c SSID=Broadcast
Google_ee:48:a9 SSID=Broadcast
Google_ee:ac:cb SSID=Broadcast
Google_f0:a3:45 SSID=Broadcast
Google_f7:21:65 SSID=Broadcast
Google_f8:59:c3 SSID=Broadcast
Google_fe:eb:e7 SSID=Broadcast
Guangdon_00:02:43 SSID=Broadcast
HonHaiPr_12:f0:0b SSID=eduroam
HonHaiPr_78:76:eb SSID=Broadcast
HonHaiPr_78:76:eb SSID=eduroam
HuaweiTe_35:70:30 SSID=eduroam
HuaweiTe_73:c8:3c SSID=Broadcast
HuaweiTe_73:c8:3c SSID=eduroam
HuaweiTe_f3:30:b9 SSID=Broadcast
HuaweiTe_fd:2b:b8 SSID=Broadcast
HuaweiTe_fd:2b:b8 SSID=Gimnastirio
HuaweiTe_fd:2b:b8 SSID=mrl
IntelCor_22:c2:cf SSID=eduroam
IntelCor_39:24:d0 SSID=Broadcast
IntelCor_39:24:d0 SSID=eduroam
IntelCor_3e:cc:e0 SSID=Broadcast
IntelCor_3e:cc:e0 SSID=eduroam
IntelCor_3e:db:94 SSID=Broadcast
IntelCor_3e:db:94 SSID=eduroam
IntelCor_3e:eb:8a SSID=Broadcast
IntelCor_3e:eb:8a SSID=eduroam
IntelCor_3f:0a:3e SSID=Broadcast
IntelCor_3f:0a:3e SSID=eduroam
IntelCor_3f:1c:3b SSID=eduroam
IntelCor_47:03:ac SSID=Broadcast
IntelCor_47:03:ac SSID=eduroam
IntelCor_47:c8:fb SSID=Broadcast
IntelCor_47:c8:fb SSID=SpeedTouch681E7C
IntelCor_47:c8:fb SSID=WLAN-BS
IntelCor_49:fb:56 SSID=Broadcast
IntelCor_49:fb:56 SSID=eduroam
IntelCor_4b:89:80 SSID=Broadcast
IntelCor_4b:89:80 SSID=eduroam
IntelCor_4d:34:1c SSID=Broadcast
IntelCor_4d:34:1c SSID=eduroam
IntelCor_5b:ba:28 SSID=Broadcast
IntelCor_5b:ba:28 SSID=eduroam
IntelCor_5c:52:1f SSID=Broadcast
IntelCor_62:77:62 SSID=Broadcast
IntelCor_62:77:62 SSID=eduroam
IntelCor_63:9c:14 SSID=Broadcast
IntelCor_63:9c:14 SSID=eduroam
IntelCor_69:74:b3 SSID=eduroam
IntelCor_69:9a:51 SSID=Broadcast
IntelCor_69:9a:51 SSID=eduroam
IntelCor_69:d9:cb SSID=Broadcast
IntelCor_8f:7c:a3 SSID=Broadcast
IntelCor_8f:7c:a3 SSID=eduroam
IntelCor_93:2b:19 SSID=Broadcast
IntelCor_93:2b:19 SSID=eduroam
IntelCor_95:bf:af (Control-frame),
IntelCor_95:bf:af SSID=Broadcast
IntelCor_95:bf:af SSID=eduroam
IntelCor_99:0a:98 (Control-frame),
IntelCor_99:0a:98 SSID=Broadcast
IntelCor_99:0a:98 SSID=eduroam
IntelCor_a0:8a:25 SSID=Broadcast
IntelCor_a0:b7:a7 SSID=Broadcast
IntelCor_a0:b7:a7 SSID=eduroam
IntelCor_a7:24:8e SSID=Broadcast
IntelCor_a7:24:8e SSID=eduroam
IntelCor_a7:63:d1 SSID=Broadcast
IntelCor_a7:63:d1 SSID=eduroam
IntelCor_a9:7b:b2 SSID=Broadcast
IntelCor_a9:7b:b2 SSID=eduroam
IntelCor_aa:cd:8c SSID=Broadcast
IntelCor_aa:cd:8c SSID=eduroam
IntelCor_b7:35:45 SSID=Broadcast
IntelCor_b7:35:45 SSID=eduroam
IntelCor_ba:40:73 SSID=eduroam
IntelCor_bd:44:78 SSID=Broadcast
IntelCor_bd:44:78 SSID=eduroam
IntelCor_c5:e4:24 SSID=Broadcast
IntelCor_c5:e4:24 SSID=eduroam
IntelCor_c8:d6:dd SSID=Broadcast
IntelCor_c8:d6:dd SSID=eduroam
IntelCor_c9:99:ba SSID=eduroam
IntelCor_c9:9b:9f SSID=Broadcast
IntelCor_c9:9b:9f SSID=eduroam
IntelCor_ca:11:88 SSID=Broadcast
IntelCor_ca:11:88 SSID=eduroam
IntelCor_cd:8c:28 SSID=Broadcast
IntelCor_d8:c8:e0 SSID=Broadcast
IntelCor_d8:c8:e0 SSID=eduroam
IntelCor_dd:85:92 SSID=eduroam
IntelCor_f3:72:f8 SSID=Broadcast
IntelCor_f3:72:f8 SSID=tudelft-dastud
LgElectr_38:aa:7d SSID=Broadcast
LgElectr_38:aa:7d SSID=eduroam
LgElectr_38:aa:7d SSID=TUvisitor
LgElectr_f2:ad:d8 SSID=Broadcast
LgElectr_f2:f1:f5 SSID=Broadcast
LiteonTe_03:7c:ec SSID=Broadcast
LiteonTe_13:bc:e7 SSID=Broadcast
LiteonTe_13:bc:e7 SSID=eduroam
LiteonTe_2b:63:9a SSID=Broadcast
LiteonTe_92:01:0d SSID=Broadcast
LiteonTe_92:01:0d SSID=eduroam
