Cisco_31:dd:ae SSID=TUvisitor
Cisco_31:dd:af SSID=eduroam
Cisco_58:1a:60 SSID=kvyb798th763cgh4589ft7u89b7j654h
Cisco_62:0f:f0 SSID=kvyb798th763cgh4589ft7u89b7j654h
Cisco_7c:d8:7e SSID=De
Cisco_7c:d8:7f SSID=De
Cisco_81:df:ae SSID=Broadcast
Cisco_8e:c6:cf SSID=WorkSquare
Cisco_90:cd:70 SSID=VF-Corporate
Cisco_90:cd:72 SSID=VF-Guest
Cisco_a0:65:ce SSID=WorkSquare-guest
Cisco_a0:65:cf SSID=WorkSquare
Cisco_ac:f1:41 SSID=NLWGA
Cisco_ac:f1:42 SSID=NFI
Cisco_ac:f1:43 SSID=NLHA
Cisco_b7:52:b0 SSID=WorkSquare
Cisco_b7:52:b1 SSID=WorkSquare-guest
Cisco_b7:52:b2 SSID=WorkSquare-for-clients
Cisco_b7:52:be SSID=WorkSquare-guest
Cisco_b7:52:bf SSID=WorkSquare
Cisco_be:df:10 SSID=eduroam
Cisco_be:df:11 SSID=TUvisitor
Cisco_be:df:12 SSID=tudelft-dastud
Cisco_be:df:13 SSID=De
Cisco_be:df:14 SSID=Event
Cisco_be:df:1b SSID=Event
Cisco_be:df:1c SSID=De
Cisco_be:df:1d SSID=tudelft-dastud
Cisco_be:df:1e SSID=TUvisitor
Cisco_be:df:1f SSID=eduroam
Cisco_c0:39:d0 SSID=eduroam
Cisco_c0:39:d1 SSID=tudelft-dastud
Cisco_c0:39:d2 SSID=TUvisitor
Cisco_c0:39:dd SSID=TUvisitor
Cisco_c0:39:de SSID=tudelft-dastud
Cisco_c0:39:df SSID=eduroam
Cisco_c0:3c:ec SSID=TUvisitor
Cisco_c0:3c:ee SSID=tudelft-dastud
Cisco_c0:3c:ef SSID=eduroam
Cisco_d1:f1:00 SSID=eduroam
Cisco_d1:f1:01 SSID=TUvisitor
Cisco_d1:f1:02 SSID=tudelft-dastud
Cisco_d1:f1:03 SSID=De
Cisco_d1:f1:04 SSID=Event
Cisco_d1:f1:0b SSID=Event
Cisco_d1:f1:0c SSID=De
Cisco_d1:f1:0d SSID=tudelft-dastud
Cisco_d1:f1:0e SSID=TUvisitor
Cisco_d1:f1:0f SSID=eduroam
Cisco_fb:3e:bf SSID=eduroam
Cisco-Li_2f:1b:17 SSID=Lemsterland
Cisco-Li_2f:1b:18 SSID=Lemsterland-guest
Cisco-Li_61:75:37 SSID=PinguinClub
Cisco-Li_6c:c3:eb SSID=linksys
Cisco-Li_7d:ba:b0 SSID=$30/mins
Cisco-Li_b5:77:6b SSID=Flowwjob
Cisco-Li_eb:28:8e SSID=Cisco29020-2.4GHz
Cisco-Li_f5:84:a6 SSID=Rens'
Cisco-Li_fc:11:fa SSID=\000\000\000\000\000\000\000\000\000\000\000\000\000\000
Cisco-Li_fc:11:fc SSID=onlineADSL
CiscoMer_83:20:66 SSID=Broadcast
CompalBr_00:cc:a0 SSID=Ziggo2FBDC4B
CompalBr_01:b5:f6 SSID=HuizeHari
CompalBr_0a:41:53 SSID=GroteSpeler
CompalBr_0a:41:5d SSID=GroteSpeler
CompalBr_12:85:8b SSID=Ziggo1AABCAF
CompalBr_12:85:91 SSID=Ziggo1AABCAF
CompalBr_16:0c:03 SSID=Ziggo853D91B-5G
CompalBr_16:0c:08 SSID=Ziggo853D91B
CompalBr_16:12:48 SSID=Kaldi
CompalBr_16:12:59 SSID=Kaldi
CompalBr_16:54:a1 SSID=Ziggo3D31D75
CompalBr_19:40:6f SSID=house
CompalBr_19:40:80 SSID=house
CompalBr_29:e5:ed SSID=kenau
CompalBr_2a:e3:31 SSID=ZiggoFB8D3D2
CompalBr_2e:ae:47 SSID=Ziggo13DEA43
CompalBr_2e:ae:7a SSID=Ziggo13DEA43
CompalBr_2f:a1:59 SSID=Ziggo1AC3C6C
CompalBr_2f:a1:68 SSID=Ziggo1AC3C6C
CompalBr_36:17:62 SSID=Ziggo6093756
CompalBr_36:e3:e6 SSID=Ziggo4794571
CompalBr_4e:ff:c5 SSID=Oranjeboven
CompalBr_52:80:1c SSID=Ziggo7E2E9DE
CompalBr_52:fc:b2 SSID=Ziggo992AE14
CompalBr_57:89:d0 SSID=Broadcast
CompalBr_5c:04:2d SSID=Ziggo5A329D8
CompalBr_5d:90:af SSID=ZiggoC2D4924
CompalBr_7a:bb:ad SSID=Rustpaleis
CompalBr_84:b6:6d SSID=ZiggoEA6DBFB
CompalBr_8d:55:77 SSID=ZiggoDFB2AF2
CompalBr_9c:ac:3d SSID=Ziggo9BD3181
CompalBr_9c:ac:6a SSID=Ziggo9BD3181
CompalBr_a0:ae:b3 SSID=ZiggoC1E4DC4
CompalBr_a0:ae:bf SSID=ZiggoC1E4DC4
CompalBr_a9:d4:8d SSID=ZiggoFAD8C8A
CompalBr_af:e2:21 SSID=Ziggo57FE215
CompalBr_af:e2:31 SSID=Ziggo57FE215
CompalBr_c9:93:cc SSID=ZiggoCD13F7F
CompalBr_cf:ac:99 SSID=Ziggo112AF6F
CompalBr_cf:ac:e7 SSID=Ziggo112AF6F
CompalBr_cf:b6:24 SSID=ZiggoCEFA2C2
CompalBr_cf:da:2a SSID=Ziggo6F2CAFE
CompalBr_d0:5e:fe SSID=Ziggo21E84CD
CompalBr_d0:5f:2d SSID=Ziggo21E84CD
CompalBr_d1:0d:1e SSID=Ziggo8ABF1D3
CompalBr_d1:ba:98 SSID=Exalt
CompalBr_d2:4f:97 SSID=corumArslan
CompalBr_d2:80:b9 SSID=Ziggo1EA7958
CompalBr_d3:29:48 SSID=ZiggoE3EE9D2
CompalBr_d3:29:76 SSID=ZiggoE3EE9D2
CompalBr_df:c9:ce SSID=trompet
CompalBr_e4:7c:db SSID=Ziggo7C3131D
CompalBr_e4:a1:66 SSID=LS
CompalBr_e4:a1:99 SSID=LS
CompalBr_e7:ea:b8 SSID=Dan
CompalBr_e8:ae:93 SSID=Ziggo217199F
CompalBr_eb:68:f1 SSID=VFW
CompalBr_eb:69:1c SSID=VFW
CompalBr_f0:bf:93 SSID=Esikli38
CompalBr_f2:71:9e SSID=Ziggo537691E
CompalBr_f2:72:4e SSID=Ziggo537691E
CompalBr_f3:c5:19 SSID=SS4a
CompalBr_f7:8b:08 SSID=Avolu4645
CompalBr_fe:e5:38 SSID=Ziggo3AE3225
CompalBr_fe:e5:4b SSID=Ziggo3AE3225
CompexUs_3f:5a:5b SSID=K-Kobus
CompexUs_41:4e:5a SSID=K-Kobus
CompexUs_61:a2:9d SSID=\000
CompexUs_61:a5:15 SSID=\000
CompexUs_76:d8:f5 SSID=Connexxion
Comtrend_ae:dd:d2 SSID=Handiquacks
Cradlepo_1e:28:99 SSID=LBO
d2:b2:c4:23:47:ed SSID=Ziggo
d2:b2:c4:55:04:3e SSID=Ziggo
d6:6a:6a:a3:f3:f7 SSID=DIRECT-f7-HP
Devolo_26:ae:50 SSID=BakNet
Devolo_26:ae:51 SSID=BakNet
Devolo_60:1a:ef SSID=devolo-30d32d601aef
D-LinkIn_11:23:b9 SSID=D-Link_DIR-600M
D-LinkIn_2d:09:99 SSID=D-Link_DIR-615
D-LinkIn_41:29:96 SSID=JingliangShen
D-LinkIn_43:72:64 SSID=Bas
D-LinkIn_43:72:66 SSID=Bas
D-LinkIn_43:76:74 SSID=Ajax
D-LinkIn_43:7a:e0 SSID=Metten
D-LinkIn_43:7a:e2 SSID=Metten-5GHz
D-LinkIn_43:81:1c SSID=dlink-811C
D-LinkIn_43:81:1e SSID=dlink-811C-5GHz
D-LinkIn_54:83:60 SSID=dlink-8360
D-LinkIn_54:83:62 SSID=dlink-8360-5GHz
D-LinkIn_68:d7:0a SSID=dlink_246a
D-LinkIn_75:ec:c4 SSID=skynet
D-LinkIn_cd:cf:2b SSID=dlink-CF2B
D-LinkIn_e6:93:b7 SSID=dlink-93B7
D-LinkIn_e6:93:b9 SSID=dlink-93B7-media
D-LinkIn_fd:0a:18 SSID=dlinkaga
Draytek_0f:0d:94 SSID=Broadcast
Draytek_0f:0d:c4 SSID=Broadcast
Draytek_24:d1:90 SSID=Sjenkels
Draytek_9c:fa:18 SSID=Huiskamer
Draytek_bd:5b:18 SSID=DrayTek
Draytek_bd:5b:1a SSID=DrayTek_5G
Draytek_f0:d9:45 SSID=Stationskeet
Draytek_fa:96:e8 SSID=mr
Draytek_fa:96:ea SSID=mr
EdimaxTe_50:a8:1e SSID=edimax_2.4BR
EdimaxTe_9d:a0:35 SSID=goede_morgan
ee:37:7a:7c:05:7c SSID=FREEWIFI
ee:55:f9:b4:a9:31 SSID=Ziggo
EfmNetwo_89:21:4e SSID=JHDWSY_5G
EfmNetwo_b0:7e:84 SSID=HSSEO
ExtremeN_ee:d0:41 SSID=Albert
ExtremeN_ee:d0:42 SSID=KPN
ExtremeN_ee:d0:43 SSID=E9371B78F5
ExtremeN_ee:d0:44 SSID=5F87B1739E
ExtremeN_f2:3a:91 SSID=gall[Malformed
f2:9f:c2:a1:66:bf SSID=Jans
f2:9f:c2:a1:a5:fa SSID=Broadcast
f2:9f:c2:a2:66:bf SSID=Moorkop
f6:9f:c2:a1:66:bf SSID=Broadcast
f6:9f:c2:a2:66:bf SSID=Jans
f6:9f:c2:da:ec:f5 SSID=Broadcast
fa:8f:ca:36:68:2d SSID=Broadcast
fa:8f:ca:3c:a6:28 SSID=Broadcast
fa:8f:ca:60:f2:00 SSID=Broadcast
fa:8f:ca:69:64:86 SSID=Broadcast
fa:8f:ca:6b:15:c1 SSID=Broadcast
fa:8f:ca:75:74:a7 SSID=Broadcast
fa:8f:ca:77:4c:39 SSID=Broadcast
fa:8f:ca:79:f0:1b SSID=Broadcast
fa:8f:ca:81:bf:16 SSID=Broadcast
fa:8f:ca:88:43:82 SSID=Broadcast
fa:8f:ca:8b:de:ef SSID=Broadcast
fa:8f:ca:93:a0:88 SSID=Broadcast
fa:8f:ca:9c:99:8a SSID=Broadcast
fa:9f:c2:a2:66:bf SSID=Broadcast
fe:9f:c2:a2:66:bf SSID=Broadcast
Frontier_d0:4b:26 SSID=Music
F-Secure_01:30:72 SSID=Sense_f-secure
Gainspan_07:4b:b9 SSID=REMOTE34hcez
HewlettP_21:f9:21 SSID=DIRECT-20-HP
HewlettP_68:c9:9b SSID=HP-Print-9B-Officejet
HewlettP_79:0b:8b SSID=DIRECT-8A-HP
HewlettP_81:a5:a1 SSID=NK_Gast
HewlettP_81:a5:a2 SSID=NK_SYS
HewlettP_81:d1:60 SSID=NK_medewerkers
HewlettP_81:d1:70 SSID=NK_medewerkers
HewlettP_81:d1:71 SSID=NK_Gast
HewlettP_81:d1:72 SSID=NK_SYS
HewlettP_97:d0:e0 SSID=JF_Client
HewlettP_97:d0:e1 SSID=JFM
HewlettP_97:d0:f0 SSID=JF_Client
HewlettP_97:d0:f1 SSID=JFM
HewlettP_97:db:21 SSID=JFM
HewlettP_d6:77:11 SSID=DIRECT-09-HP
HewlettP_ef:3c:5c SSID=DIRECT-59-HP
Hi-Flyin_58:58:d4 SSID=AH55230654
HonHaiPr_08:8e:4e SSID=Ziggo610E8
HonHaiPr_11:57:57 SSID=HP-Print-57-LaserJet
HonHaiPr_14:b0:4c SSID=Ziggo9DD6F
HonHaiPr_2b:74:c6 SSID=Ziggo25F77
HonHaiPr_2d:bd:be SSID=ZiggoE25B3-5G
HonHaiPr_2e:2c:b9 SSID=Ziggo1D6C6-5G
HonHaiPr_32:e2:39 SSID=Ziggo65247
HonHaiPr_46:07:cb SSID=Molstraat68
HonHaiPr_5d:f2:43 SSID=CH10
HonHaiPr_78:18:08 SSID=BoschS510
HonHaiPr_a0:98:3c SSID=ZiggoE1220
HonHaiPr_b4:a9:30 SSID=ZiggoAA854
HonHaiPr_ed:9e:b9 SSID=PS3-1979917
HuaweiTe_0a:55:48 SSID=VFNL-0A5540
HuaweiTe_12:54:84 SSID=TMNL-12547C
HuaweiTe_12:54:88 SSID=TMNL-12547C5G
HuaweiTe_1b:cc:6b SSID=HUAWEI-E5186-CC6B
